上呼吸道感染	中药功效与主治：上呼吸道感染。
脾虚食少	中药功效与主治：脾虚食少。
腐蚀赘疣	中药功效与主治：腐蚀赘疣。
腮腺炎	中药功效与主治：腮腺炎。
腰痛	中药功效与主治：腰痛。
腰肌劳损	中药功效与主治：腰肌劳损。
腰腿	中药功效与主治：腰腿。
腰腿疼痛	中药功效与主治：腰腿疼痛。
腰腿痛	中药功效与主治：腰腿痛。
腰膝冷痛	中药功效与主治：腰膝冷痛。
腰膝无力	中药功效与主治：腰膝无力。
腰膝疼痛	中药功效与主治：腰膝疼痛。
腰膝酸痛	中药功效与主治：腰膝酸痛。
腰膝酸软	中药功效与主治：腰膝酸软。
腹水	中药功效与主治：腹水。
腹泻	中药功效与主治：腹泻。
腹痛	中药功效与主治：腹痛。
腹痛吐泻	中药功效与主治：腹痛吐泻。
腹痛泄泻	中药功效与主治：腹痛泄泻。
腹胀	中药功效与主治：腹胀。
膀胱炎	中药功效与主治：膀胱炎。
膀胱结石	中药功效与主治：膀胱结石。
臁疮	中药功效与主治：臁疮。
臌胀	中药功效与主治：臌胀。
自汗	中药功效与主治：自汗。
自汗盗汗	中药功效与主治：自汗盗汗。
舒筋	中药功效与主治：舒筋。
舒筋活络	中药功效与主治：舒筋活络。
舒筋活血	中药功效与主治：舒筋活血。
舒筋络	中药功效与主治：舒筋络。
舒筋通脉	中药功效与主治：舒筋通脉。
舒肝	中药功效与主治：舒肝。
舒肝利胆	中药功效与主治：舒肝利胆。
舒肝止痛	中药功效与主治：舒肝止痛。
舒肝理气	中药功效与主治：舒肝理气。
舒肝行气止痛	中药功效与主治：舒肝行气止痛。
芳香化浊	中药功效与主治：芳香化浊。
芳香化湿	中药功效与主治：芳香化湿。
荨麻疹	中药功效与主治：荨麻疹。
菌痢	中药功效与主治：菌痢。
落胎	中药功效与主治：落胎。
虚劳	中药功效与主治：虚劳。
虚劳咳嗽	中药功效与主治：虚劳咳嗽。
虚咳	中药功效与主治：虚咳。
虚喘	中药功效与主治：虚喘。
虚寒	中药功效与主治：虚寒。
虚弱	中药功效与主治：虚弱。
虚损	中药功效与主治：虚损。
虚热	中药功效与主治：虚热。
虚痨	中药功效与主治：虚痨。
虚痨咳嗽	中药功效与主治：虚痨咳嗽。
虚肿	中药功效与主治：虚肿。
虫咬伤	中药功效与主治：虫咬伤。
虫积	中药功效与主治：虫积。
虫积腹痛	中药功效与主治：虫积腹痛。
虫蛇咬伤	中药功效与主治：虫蛇咬伤。
蛇伤	中药功效与主治：蛇伤。
蛇咬	中药功效与主治：蛇咬。
蛇咬伤	中药功效与主治：蛇咬伤。
蛇虫咬伤	中药功效与主治：蛇虫咬伤。
蛔虫	中药功效与主治：蛔虫。
蛔虫病	中药功效与主治：蛔虫病。
蛔虫症	中药功效与主治：蛔虫症。
蛔虫腹痛	中药功效与主治：蛔虫腹痛。
蛲虫	中药功效与主治：蛲虫。
蛲虫病	中药功效与主治：蛲虫病。
血吸虫病	中药功效与主治：血吸虫病。
血崩	中药功效与主治：血崩。
血栓闭塞性脉管炎	中药功效与主治：血栓闭塞性脉管炎。
血淋	中药功效与主治：血淋。
血滞经闭	中药功效与主治：血滞经闭。
血热	中药功效与主治：血热。
血热吐衄	中药功效与主治：血热吐衄。
血痢	中药功效与主治：血痢。
血瘀	中药功效与主治：血瘀。
血瘀经闭	中药功效与主治：血瘀经闭。
血虚	中药功效与主治：血虚。
血虚萎黄	中药功效与主治：血虚萎黄。
衄血	中药功效与主治：衄血。
行气	中药功效与主治：行气。
行气化瘀	中药功效与主治：行气化瘀。
行气和胃	中药功效与主治：行气和胃。
行气导滞	中药功效与主治：行气导滞。
行气散瘀	中药功效与主治：行气散瘀。
行气止痛	中药功效与主治：行气止痛。
行气活血	中药功效与主治：行气活血。
行气温中	中药功效与主治：行气温中。
行气破血	中药功效与主治：行气破血。
行气解郁	中药功效与主治：行气解郁。
行水消肿	中药功效与主治：行水消肿。
行滞	中药功效与主治：行滞。
行滞气	中药功效与主治：行滞气。
行滞消胀	中药功效与主治：行滞消胀。
行瘀	中药功效与主治：行瘀。
行血	中药功效与主治：行血。
行血祛瘀	中药功效与主治：行血祛瘀。
补中益气	中药功效与主治：补中益气。
补五劳七伤	中药功效与主治：补五劳七伤。
补五脏	中药功效与主治：补五脏。
补心	中药功效与主治：补心。
补气	中药功效与主治：补气。
补气固表	中药功效与主治：补气固表。
补气安神	中药功效与主治：补气安神。
补气血	中药功效与主治：补气血。
补火助阳	中药功效与主治：补火助阳。
补益心脾	中药功效与主治：补益心脾。
补益肝肾	中药功效与主治：补益肝肾。
补肝	中药功效与主治：补肝。
补肝肾	中药功效与主治：补肝肾。
补肺	中药功效与主治：补肺。
补肺止咳	中药功效与主治：补肺止咳。
补肺益肾	中药功效与主治：补肺益肾。
补肾	中药功效与主治：补肾。
补肾助阳	中药功效与主治：补肾助阳。
补肾壮阳	中药功效与主治：补肾壮阳。
补肾宁心	中药功效与主治：补肾宁心。
补肾安神	中药功效与主治：补肾安神。
补肾强骨	中药功效与主治：补肾强骨。
补肾涩精	中药功效与主治：补肾涩精。
补肾益精	中药功效与主治：补肾益精。
补肾阳	中药功效与主治：补肾阳。
补脾	中药功效与主治：补脾。
补脾养胃	中药功效与主治：补脾养胃。
补脾止泻	中药功效与主治：补脾止泻。
补脾益气	中药功效与主治：补脾益气。
补脾益肺	中药功效与主治：补脾益肺。
补脾胃	中药功效与主治：补脾胃。
补腰肾	中药功效与主治：补腰肾。
补虚	中药功效与主治：补虚。
补虚劳	中药功效与主治：补虚劳。
补虚弱	中药功效与主治：补虚弱。
补虚损	中药功效与主治：补虚损。
补血	中药功效与主治：补血。
补阴	中药功效与主治：补阴。
视物昏花	中药功效与主治：视物昏花。
解暑	中药功效与主治：解暑。
解毒	中药功效与主治：解毒。
解毒利咽	中药功效与主治：解毒利咽。
解毒利湿	中药功效与主治：解毒利湿。
解毒排脓	中药功效与主治：解毒排脓。
解毒敛疮	中药功效与主治：解毒敛疮。
解毒散结	中药功效与主治：解毒散结。
解毒散结止痛	中药功效与主治：解毒散结止痛。
解毒杀虫	中药功效与主治：解毒杀虫。
解毒止痛	中药功效与主治：解毒止痛。
解毒消痈	中药功效与主治：解毒消痈。
解毒消肿	中药功效与主治：解毒消肿。
解毒疗疮	中药功效与主治：解毒疗疮。
解毒透疹	中药功效与主治：解毒透疹。
解渴	中药功效与主治：解渴。
解热	中药功效与主治：解热。
解热毒	中药功效与主治：解热毒。
解疮毒	中药功效与主治：解疮毒。
解痉	中药功效与主治：解痉。
解痉止痛	中药功效与主治：解痉止痛。
解肌	中药功效与主治：解肌。
解肌退热	中药功效与主治：解肌退热。
解蛇毒	中药功效与主治：解蛇毒。
解表	中药功效与主治：解表。
解表散寒	中药功效与主治：解表散寒。
解表散风	中药功效与主治：解表散风。
解表祛风	中药功效与主治：解表祛风。
解郁	中药功效与主治：解郁。
解郁安神	中药功效与主治：解郁安神。
解酒	中药功效与主治：解酒。
解酒毒	中药功效与主治：解酒毒。
解鱼蟹毒	中药功效与主治：解鱼蟹毒。
调中	中药功效与主治：调中。
调和诸药	中药功效与主治：调和诸药。
调气	中药功效与主治：调气。
调气解郁	中药功效与主治：调气解郁。
调经	中药功效与主治：调经。
调经止痛	中药功效与主治：调经止痛。
调经活血	中药功效与主治：调经活血。
豁痰	中药功效与主治：豁痰。
豁痰利咽	中药功效与主治：豁痰利咽。
败毒	中药功效与主治：败毒。
贫血	中药功效与主治：贫血。
赘疣	中药功效与主治：赘疣。
赤痢	中药功效与主治：赤痢。
赤白带下	中药功效与主治：赤白带下。
赤白痢	中药功效与主治：赤白痢。
赤白痢疾	中药功效与主治：赤白痢疾。
赤眼	中药功效与主治：赤眼。
跌扑	中药功效与主治：跌扑。
跌扑损伤	中药功效与主治：跌扑损伤。
跌扑肿痛	中药功效与主治：跌扑肿痛。
跌打	中药功效与主治：跌打。
跌打伤	中药功效与主治：跌打伤。
跌打伤痛	中药功效与主治：跌打伤痛。
跌打内伤	中药功效与主治：跌打内伤。
跌打劳伤	中药功效与主治：跌打劳伤。
跌打扭伤	中药功效与主治：跌打扭伤。
跌打损伤	中药功效与主治：跌打损伤。
跌打瘀痛	中药功效与主治：跌打瘀痛。
跌打肿痛	中药功效与主治：跌打肿痛。
跌打骨折	中药功效与主治：跌打骨折。
身热	中药功效与主治：身热。
身痒	中药功效与主治：身痒。
身痛	中药功效与主治：身痛。
转筋	中药功效与主治：转筋。
软坚	中药功效与主治：软坚。
软坚散结	中药功效与主治：软坚散结。
辟瘟	中药功效与主治：辟瘟。
辟秽	中药功效与主治：辟秽。
过敏性皮炎	中药功效与主治：过敏性皮炎。
追风	中药功效与主治：追风。
退乳消胀	中药功效与主治：退乳消胀。
退热	中药功效与主治：退热。
退目翳	中药功效与主治：退目翳。
退翳	中药功效与主治：退翳。
退肿	中药功效与主治：退肿。
退虚热	中药功效与主治：退虚热。
退黄	中药功效与主治：退黄。
退黄疸	中药功效与主治：退黄疸。
透疹	中药功效与主治：透疹。
逐寒湿	中药功效与主治：逐寒湿。
逐水消肿	中药功效与主治：逐水消肿。
逐痰	中药功效与主治：逐痰。
逐瘀	中药功效与主治：逐瘀。
逐瘀通经	中药功效与主治：逐瘀通经。
逐风寒湿邪	中药功效与主治：逐风寒湿邪。
通九窍	中药功效与主治：通九窍。
通乳	中药功效与主治：通乳。
通乳汁	中药功效与主治：通乳汁。
通便	中药功效与主治：通便。
通关窍	中药功效与主治：通关窍。
通关节	中药功效与主治：通关节。
通利	中药功效与主治：通利。
通利二便	中药功效与主治：通利二便。
通利关节	中药功效与主治：通利关节。
通大便	中药功效与主治：通大便。
通小肠	中药功效与主治：通小肠。
通月经	中药功效与主治：通月经。
通淋	中药功效与主治：通淋。
通滞	中药功效与主治：通滞。
通痹	中药功效与主治：通痹。
通痹止痛	中药功效与主治：通痹止痛。
通窍	中药功效与主治：通窍。
通窍止痛	中药功效与主治：通窍止痛。
通经	中药功效与主治：通经。
通经下乳	中药功效与主治：通经下乳。
通经止痛	中药功效与主治：通经止痛。
通经活络	中药功效与主治：通经活络。
通经活血	中药功效与主治：通经活血。
通经络	中药功效与主治：通经络。
通经脉	中药功效与主治：通经脉。
通络	中药功效与主治：通络。
通络止痛	中药功效与主治：通络止痛。
通脉	中药功效与主治：通脉。
通脉平喘	中药功效与主治：通脉平喘。
通血脉	中药功效与主治：通血脉。
通阳	中药功效与主治：通阳。
通阳散结	中药功效与主治：通阳散结。
通鼻窍	中药功效与主治：通鼻窍。
遗尿	中药功效与主治：遗尿。
遗尿尿频	中药功效与主治：遗尿尿频。
遗精	中药功效与主治：遗精。
邪气	中药功效与主治：邪气。
酒服	中药功效与主治：酒服。
醒神	中药功效与主治：醒神。
醒神益智	中药功效与主治：醒神益智。
醒脾	中药功效与主治：醒脾。
醒脾开胃	中药功效与主治：醒脾开胃。
醒酒	中药功效与主治：醒酒。
金疮	中药功效与主治：金疮。
金疮出血	中药功效与主治：金疮出血。
钩端螺旋体病	中药功效与主治：钩端螺旋体病。
钩虫病	中药功效与主治：钩虫病。
镇咳	中药功效与主治：镇咳。
镇心	中药功效与主治：镇心。
镇惊	中药功效与主治：镇惊。
镇痉	中药功效与主治：镇痉。
镇痛	中药功效与主治：镇痛。
镇静	中药功效与主治：镇静。
镇静止痛	中药功效与主治：镇静止痛。
长肌肉	中药功效与主治：长肌肉。
闭经	中药功效与主治：闭经。
阑尾炎	中药功效与主治：阑尾炎。
阳痿	中药功效与主治：阳痿。
阳痿遗精	中药功效与主治：阳痿遗精。
阳萎	中药功效与主治：阳萎。
阴囊湿疹	中药功效与主治：阴囊湿疹。
阴囊湿痒	中药功效与主治：阴囊湿痒。
阴疽	中药功效与主治：阴疽。
阴痒	中药功效与主治：阴痒。
阴痿	中药功效与主治：阴痿。
阴虚	中药功效与主治：阴虚。
阴虚火旺	中药功效与主治：阴虚火旺。
阴道滴虫	中药功效与主治：阴道滴虫。
降压	中药功效与主治：降压。
降气	中药功效与主治：降气。
降气化痰	中药功效与主治：降气化痰。
降气止咳平喘	中药功效与主治：降气止咳平喘。
降气消痰	中药功效与主治：降气消痰。
降火	中药功效与主治：降火。
降火利咽	中药功效与主治：降火利咽。
降血压	中药功效与主治：降血压。
降逆	中药功效与主治：降逆。
降逆下气	中药功效与主治：降逆下气。
降逆止呕	中药功效与主治：降逆止呕。
除寒	中药功效与主治：除寒。
除寒热	中药功效与主治：除寒热。
除湿	中药功效与主治：除湿。
除湿热	中药功效与主治：除湿热。
除烦	中药功效与主治：除烦。
除烦止呕	中药功效与主治：除烦止呕。
除烦止渴	中药功效与主治：除烦止渴。
除烦热	中药功效与主治：除烦热。
除热	中药功效与主治：除热。
除疳热	中药功效与主治：除疳热。
除痰	中药功效与主治：除痰。
除痰截疟	中药功效与主治：除痰截疟。
除痹	中药功效与主治：除痹。
除痹止泻	中药功效与主治：除痹止泻。
除蒸	中药功效与主治：除蒸。
除风	中药功效与主治：除风。
除风湿	中药功效与主治：除风湿。
除风热	中药功效与主治：除风热。
除骨蒸	中药功效与主治：除骨蒸。
难产	中药功效与主治：难产。
雀目	中药功效与主治：雀目。
霍乱	中药功效与主治：霍乱。
霍乱吐泻	中药功效与主治：霍乱吐泻。
霍乱转筋	中药功效与主治：霍乱转筋。
青盲	中药功效与主治：青盲。
音哑	中药功效与主治：音哑。
顺气	中药功效与主治：顺气。
顺气止痛	中药功效与主治：顺气止痛。
须发早白	中药功效与主治：须发早白。
顽痹	中药功效与主治：顽痹。
顽癣	中药功效与主治：顽癣。
颈淋巴结结核	中药功效与主治：颈淋巴结结核。
风寒咳嗽	中药功效与主治：风寒咳嗽。
风寒感冒	中药功效与主治：风寒感冒。
风寒湿痹	中药功效与主治：风寒湿痹。
风湿	中药功效与主治：风湿。
风湿关节痛	中药功效与主治：风湿关节痛。
风湿性关节炎	中药功效与主治：风湿性关节炎。
风湿性关节痛	中药功效与主治：风湿性关节痛。
风湿性腰腿痛	中药功效与主治：风湿性腰腿痛。
风湿热痹	中药功效与主治：风湿热痹。
风湿疼痛	中药功效与主治：风湿疼痛。
风湿痛	中药功效与主治：风湿痛。
风湿痹痛	中药功效与主治：风湿痹痛。
风湿痹证	中药功效与主治：风湿痹证。
风湿筋骨疼痛	中药功效与主治：风湿筋骨疼痛。
风湿筋骨痛	中药功效与主治：风湿筋骨痛。
风湿骨痛	中药功效与主治：风湿骨痛。
风湿麻木	中药功效与主治：风湿麻木。
风火牙痛	中药功效与主治：风火牙痛。
风火赤眼	中药功效与主治：风火赤眼。
风热	中药功效与主治：风热。
风热咳嗽	中药功效与主治：风热咳嗽。
风热头痛	中药功效与主治：风热头痛。
风热感冒	中药功效与主治：风热感冒。
风疹	中药功效与主治：风疹。
风疹瘙痒	中药功效与主治：风疹瘙痒。
风痹	中药功效与主治：风痹。
食少呕吐	中药功效与主治：食少呕吐。
食欲不振	中药功效与主治：食欲不振。
食滞	中药功效与主治：食滞。
食物中毒	中药功效与主治：食物中毒。
食积	中药功效与主治：食积。
食积不化	中药功效与主治：食积不化。
食积胀痛	中药功效与主治：食积胀痛。
食积腹痛	中药功效与主治：食积腹痛。
饮食积滞	中药功效与主治：饮食积滞。
饱胀	中药功效与主治：饱胀。
驱虫	中药功效与主治：驱虫。
驱蛔	中药功效与主治：驱蛔。
驱风	中药功效与主治：驱风。
驳骨	中药功效与主治：驳骨。
骨折	中药功效与主治：骨折。
骨折肿痛	中药功效与主治：骨折肿痛。
骨痛	中药功效与主治：骨痛。
骨结核	中药功效与主治：骨结核。
骨节疼痛	中药功效与主治：骨节疼痛。
骨蒸	中药功效与主治：骨蒸。
骨蒸劳热	中药功效与主治：骨蒸劳热。
骨蒸潮热	中药功效与主治：骨蒸潮热。
骨蒸盗汗	中药功效与主治：骨蒸盗汗。
骨髓炎	中药功效与主治：骨髓炎。
高热	中药功效与主治：高热。
高血压	中药功效与主治：高血压。
高血压病	中药功效与主治：高血压病。
高血压症	中药功效与主治：高血压症。
鱼骨	中药功效与主治：鱼骨。
鲜地黄  清热生津	中药功效与主治：鲜地黄  清热生津。
鹅掌风	中药功效与主治：鹅掌风。
鹤膝风	中药功效与主治：鹤膝风。
麻木	中药功效与主治：麻木。
麻疹	中药功效与主治：麻疹。
麻疹不透	中药功效与主治：麻疹不透。
麻痹	中药功效与主治：麻痹。
麻风	中药功效与主治：麻风。
黄水疮	中药功效与主治：黄水疮。
黄疸	中药功效与主治：黄疸。
黄疸型肝炎	中药功效与主治：黄疸型肝炎。
黄疽	中药功效与主治：黄疽。
鼠瘘	中药功效与主治：鼠瘘。
鼻出血	中药功效与主治：鼻出血。
鼻塞	中药功效与主治：鼻塞。
鼻渊	中药功效与主治：鼻渊。
鼻炎	中药功效与主治：鼻炎。
鼻窦炎	中药功效与主治：鼻窦炎。
齿痛	中药功效与主治：齿痛。
龋齿	中药功效与主治：龋齿。
龋齿痛	中药功效与主治：龋齿痛。
